Outbound: Paris ➜ Barcelona,Wednesday 01 August,-,-,-
Outbound: Paris ➜ Barcelona,Thursday 16 August,16:00 ➜ 08:10,16h10, 1 change,€73.99
Outbound: Paris ➜ Barcelona,Thursday 16 August,16:00 ➜ 18:30,26h30, 2 changes,€63.60
Outbound: Paris ➜ Barcelona,Thursday 16 August,16:07 ➜ 22:44,6h37, 0 changes,€119.00
Outbound: Paris ➜ Barcelona,Friday 17 August,07:15 ➜ 13:34,6h19, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Friday 17 August,07:15 ➜ 19:31,12h16, 1 change,€104.99
Outbound: Paris ➜ Barcelona,Friday 17 August,10:07 ➜ 16:34,6h27, 0 changes,€139.00
Outbound: Paris ➜ Barcelona,Friday 17 August,10:59 ➜ 19:31,8h32, 1 change,€130.00
Outbound: Paris ➜ Barcelona,Friday 17 August,13:00 ➜ 06:15,17h15, 1 change,€69.98
Outbound: Paris ➜ Barcelona,Friday 17 August,14:07 ➜ 20:34,6h27, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Friday 17 August,14:30 ➜ 05:45,15h15, 0 changes,€70.00
Outbound: Paris ➜ Barcelona,Friday 17 August,15:20 ➜ 07:55,16h35, 1 change,€83.98
Outbound: Paris ➜ Barcelona,Friday 17 August,16:07 ➜ 22:44,6h37, 0 changes,€109.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,07:15 ➜ 13:34,6h19, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,07:15 ➜ 19:31,12h16, 1 change,€109.99
Outbound: Paris ➜ Barcelona,Saturday 18 August,08:00 ➜ 02:40,18h40, 1 change,€94.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,09:00 ➜ 09:45,24h45, 1 change,€112.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,10:00 ➜ 09:45,23h45, 1 change,€77.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,10:00 ➜ 11:15,25h15, 1 change,€56.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,10:07 ➜ 16:34,6h27, 0 changes,€169.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,10:45 ➜ 06:15,19h30, 1 change,€79.98
Outbound: Paris ➜ Barcelona,Saturday 18 August,10:59 ➜ 19:31,8h32, 1 change,€135.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,12:15 ➜ 08:25,20h10, 0 changes,€78.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,12:30 ➜ 10:15,21h45, 1 change,€95.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,14:00 ➜ 10:15,20h15, 1 change,€88.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,14:07 ➜ 20:34,6h27, 0 changes,€129.00
Outbound: Paris ➜ Barcelona,Saturday 18 August,14:30 ➜ 05:25,14h55, 0 changes,€80.00
